chinese_word,english_translation,chinese_sentence,english_sentence
什么,what,你想吃什么？,What do you want to eat?
甚至,even,他甚至没说再见。,He didn't even say goodbye.
生病,to get sick,我昨天生病了。,I got sick yesterday.
生活,life,我的生活很简单。,My life is very simple.
生命,life,每个生命都很宝贵。,Every life is precious.
生气,angry,别生气，我跟你开玩笑呢。,"Don't be angry, I was just joking with you."
生日,birthday,明天是我的生日。,Tomorrow is my birthday.
声音,sound; voice,这个音乐的声音太大了。,The music is too loud.
省,to save,我们要省一点钱。,We need to save some money.
剩,to remain,盘子里还剩一点饭。,There's still some rice left on the plate.
失望,disappointed,他对考试结果很失望。,He was disappointed with the test results.
十,ten,我有十本书。,I have ten books.
十分,very,这个电影十分有趣。,This movie is very interesting.
食品,food,超市里有很多食品。,There are many food items in the supermarket.
使,to make; to cause,这件事使我很开心。,This matter makes me very happy.
使用,to use,你会使用筷子吗？,Do you know how to use chopsticks?
是,is; to be,他是我的朋友。,He is my friend.
适合,suitable; to suit,这件衣服很适合你。,This clothes suits you very well.
世界,world,我想环游世界。,I want to travel around the world.
事情,"matter, thing",这件事情很重要。,This matter is very important.
收,"to receive, collect",我收到了你的信。,I received your letter.
收入,income,他的月收入很高。,His monthly income is high.
收拾,"to tidy up, pack",请帮我收拾房间。,Please help me tidy up the room.
手表,wristwatch,这是一块新手表。,This is a new wristwatch.
手机,mobile phone,我买了一部新手机。,I bought a new mobile phone.
首都,capital city,北京是中国的首都。,Beijing is the capital of China.
首先,"first, firstly",首先，我们要学习生词。,"First, we need to study new words."
瘦,"thin, slim",她变得很瘦了。,She has become very thin.
受不了,"can't stand, unbearable",我受不了这么热的天气。,I can't stand such hot weather.
受到,"to receive, to get",他受到了大家的欢迎。,He received everyone's welcome.
舒服,comfortable,这张椅子很舒服。,This chair is very comfortable.
叔叔,uncle,这是我的叔叔。,This is my uncle.
熟悉,familiar with,我很熟悉这个地方。,I'm very familiar with this place.
数量,"quantity, amount",商店里商品的数量很多。,The store has a large quantity of goods.
数学,mathematics,我的数学成绩很好,My mathematics grades are good
数字,number,请输入你的电话数字,Please enter your phone number
双,pair,我买了一双新鞋,I bought a pair of new shoes
水,water,我每天喝八杯水,I drink eight glasses of water every day
水果,fruit,我最喜欢吃苹果这种水果,Apple is my favorite fruit
水平,level,他的中文水平很高,His Chinese level is very high
司机,driver,我爸爸是出租车司机,My father is a taxi driver
死,to die,这些花都死了,These flowers have all died
四,four,我家在四楼,My apartment is on the fourth floor
送,to give,他送了我一本书,He gave me a book
速度,speed,这辆车的速度很快,This car's speed is very fast
塑料袋,plastic bag,请给我一个塑料袋,Please give me a plastic bag
酸,sour,这个柠檬很酸,This lemon is very sour
算,to calculate,让我算一下总价,Let me calculate the total price
虽然,although,虽然很累，我还要继续工作,"Although I'm tired, I need to continue working"
随便,casual; as one pleases,你想吃什么随便点。,Order whatever you like.
随着,along with; following,随着天气变暖，花儿开了。,"As the weather gets warmer, the flowers bloom."
所以,therefore; so,我病了，所以没去上课。,"I was sick, so I didn't go to class."
所有,all; every,所有的学生都来了。,All the students have come.
他,he; him,他是我的好朋友。,He is my good friend.
她,she; her,她喜欢看电影。,She likes watching movies.
它,it,这只猫很可爱，我很喜欢它。,"This cat is cute, I like it very much."
台,platform; machine,这台电脑是新的。,This computer is new.
抬,to lift; to raise,请帮我抬一下这个箱子。,Please help me lift this box.
太,too; very,这个房间太小了。,This room is too small.
太阳,sun,今天太阳很大。,The sun is very strong today.
趟,trip; time,我今天去超市跑了两趟。,I made two trips to the supermarket today.
糖,sugar; candy,这个糖很甜。,This candy is very sweet.
特别,especially; particularly,我特别喜欢吃中国菜。,I especially like eating Chinese food.
特点,characteristic; feature,这个城市的特点是很安静。,The characteristic of this city is that it's very quiet.
踢足球,to play soccer/football,我每个周末都去踢足球,I play soccer every weekend
提高,to improve; to increase,我需要提高我的中文水平,I need to improve my Chinese level
提供,to provide; to supply,酒店提供免费早餐,The hotel provides free breakfast
提前,to do ahead of time; early,他提前到了机场,He arrived at the airport early
提醒,to remind,请提醒我明天带钱包,Please remind me to bring my wallet tomorrow
体育,sports; physical education,我最喜欢体育课,Physical education is my favorite class
天气,weather,今天的天气很好,The weather is nice today
甜,sweet,这个蛋糕太甜了,This cake is too sweet
填空,to fill in the blank,请在表格上填空,Please fill in the blanks on the form
条,strip; item,这条裤子很合适,These pants fit well
条件,condition; requirement,工作条件很好,The working conditions are good
跳舞,to dance,她很会跳舞,She dances very well
听,to listen; to hear,我喜欢听音乐,I like listening to music
停止,to stop; to cease,雨已经停止了,The rain has stopped
通知,to notify; notice,老师通知我们明天考试,The teacher notified us about tomorrow's exam
同情,sympathy,我很同情他的遭遇。,I sympathize with his situation.
同事,colleague,他是我的新同事。,He is my new colleague.
同学,classmate,我和我的同学一起学习。,I study with my classmates.
同意,agree,我同意你的想法。,I agree with your idea.
突然,sudden,他突然站了起来。,He suddenly stood up.
推,push,请推门进来。,Please push the door to enter.
脱,take off,天热了，他脱了外套。,"It was hot, so he took off his jacket."
袜子,socks,我买了新袜子。,I bought new socks.
外,outside,外面下雨了。,It's raining outside.
玩,play,孩子们在公园玩。,The children are playing in the park.
完,finish,作业做完了。,The homework is finished.
完成,complete,我完成了这个任务。,I completed this task.
完全,completely,我完全理解你的意思。,I completely understand what you mean.
碗,bowl,请给我一个碗。,Please give me a bowl.
晚上,evening,晚上我们去看电影。,We're going to watch a movie in the evening.
万,ten thousand,这个城市有几万人口。,This city has tens of thousands of people.
往,towards,他往学校走去。,He walked towards school.
往往,often,他往往迟到。,He is often late.
网球,tennis,我每周末打网球。,I play tennis every weekend.
网站,website,这是一个很有用的网站。,This is a very useful website.
喂,hello,喂，你好吗？,"Hello, how are you?"
位,classifier for people,这三位是我的老师。,These three people are my teachers.
味道,flavor; taste,这个菜的味道很好。,This dish tastes very good.
文化,culture,我对中国文化很感兴趣。,I'm very interested in Chinese culture.
文章,article,这篇文章写得很好。,This article is well written.
我,I; me,我是一个学生。,I am a student.
握手,shake hands,他们互相握手。,They shook hands with each other.
无,without; -less,这里无人。,There's nobody here.
无聊,boring,这部电影很无聊。,This movie is very boring.
五,five,我有五本书。,I have five books.
西,west,我家在北京的西边,My house is on the west side of Beijing
西瓜,watermelon,夏天吃西瓜很爽,Eating watermelon in summer is refreshing
希望,hope,我希望明天是晴天,I hope tomorrow will be sunny
吸引,attract,这个故事很吸引人,This story is very attractive
洗,wash,我要洗一下手,I need to wash my hands
洗衣机,washing machine,我把衣服放进洗衣机,I put the clothes in the washing machine
洗澡,take a shower,每天晚上我都要洗澡,I take a shower every night
夏,summer,北京的夏天很热,Beijing's summer is very hot
下,down,他从楼上走下来,He came down from upstairs
下午,afternoon,下午我去图书馆,I'm going to the library in the afternoon
下雨,rain,今天可能会下雨,It might rain today
先,first,你先走，我随后来,"You go first, I'll come later"
先生,Mr.,李先生是我的老师,Mr. Li is my teacher
咸,salty,这个汤太咸了,This soup is too salty
羡慕,envy,我很羡慕你的工作,I envy your job
限制,to restrict; to limit,医生限制他每天只能喝一杯咖啡。,The doctor restricted him to only one cup of coffee per day.
香,fragrant; aromatic,这些花真香。,These flowers are very fragrant.
香蕉,banana,我每天早上都吃一根香蕉。,I eat a banana every morning.
相反,opposite,他的想法和我的完全相反。,His thinking is completely opposite to mine.
相同,same; identical,这两件衣服的颜色是相同的。,These two pieces of clothing are the same color.
相信,to believe,我相信你会成功的。,I believe you will succeed.
响,to sound; loud,他的手机响了。,His phone rang.
想,to think; to want,我想去北京旅游。,I want to travel to Beijing.
向,towards; to,他向商店走去。,He walked towards the store.
像,like; similar to,他长得很像他爸爸。,He looks a lot like his father.
消息,news; information,你听到这个好消息了吗？,Have you heard this good news?
小,small; little,这是一个小房间。,This is a small room.
小姐,Miss; young lady,王小姐在开会。,Miss Wang is in a meeting.
小心,be careful,下雨天开车要小心。,Drive carefully when it's raining.
笑,to laugh; to smile,这个笑话让大家都笑了。,This joke made everyone laugh.
效果,"effect, result",这个新药的效果很好,The effect of this new medicine is very good
些,"some, several",我买了些水果,I bought some fruit
鞋,shoes,这双鞋很舒服,These shoes are very comfortable
写,to write,我正在写作业,I am writing my homework
新,new,这是一家新餐厅,This is a new restaurant
辛苦,"hard, tiring",今天工作很辛苦,Work was very tiring today
心情,mood,今天我的心情很好,I'm in a good mood today
信,"letter, mail",我收到一封信,I received a letter
信任,to trust,我完全信任他,I trust him completely
信心,confidence,他对自己很有信心,He has a lot of confidence in himself
信用卡,credit card,我用信用卡付钱,I paid with a credit card
星期,week,下星期我去北京,I'm going to Beijing next week
行,"to walk, OK",这样做行不行？,Is it OK to do it this way?
行李箱,suitcase,我的行李箱很重,My suitcase is very heavy
醒,to wake up,我每天七点醒,I wake up at 7 o'clock every day
姓,surname,你贵姓？,What is your surname?
性别,gender,请填写你的性别。,Please fill in your gender.
性格,personality,她的性格很开朗。,She has a cheerful personality.
幸福,happiness,他们是一个幸福的家庭。,They are a happy family.
兴趣,interest,我对画画很有兴趣。,I'm very interested in painting.
熊猫,panda,熊猫最喜欢吃竹子。,Pandas love eating bamboo the most.
修,to repair,我需要修一下我的自行车。,I need to repair my bicycle.
休息,to rest,工作了一天，该休息了。,"After working all day, it's time to rest."
需要,to need,我需要买些新衣服。,I need to buy some new clothes.
学生,student,教室里有二十个学生。,There are twenty students in the classroom.
学校,school,我的学校在市中心。,My school is in the city center.
雪,snow,今天下雪了。,It's snowing today.
血,blood,他的血型是A型。,His blood type is A.
研究生,graduate student,他是北大的研究生。,He is a graduate student at Peking University.
演出,performance,今晚有一场音乐演出。,There is a music performance tonight.
眼睛,eyes,他的眼睛很大很漂亮。,His eyes are big and beautiful.
阳光,sunshine,今天的阳光真好。,The sunshine is really nice today.
羊肉,mutton,这家餐厅的羊肉很好吃。,The mutton at this restaurant is delicious.
养成,to develop (a habit),要养成每天运动的好习惯。,You should develop the good habit of exercising daily.
要求,to require; demand,老师要求我们做完作业。,The teacher requires us to finish our homework.
要,want to; will,我要去超市买东西。,I want to go to the supermarket to buy things.
也,also; too,我也喜欢喝咖啡。,I like coffee too.
叶子,leaf,树上的叶子变黄了。,The leaves on the tree have turned yellow.
一,one,我只有一本书。,I only have one book.
衣服,clothes,她买了新衣服。,She bought new clothes.
医生,doctor,这位医生很有经验。,This doctor is very experienced.
医院,hospital,医院就在前面那条街。,The hospital is on the street ahead.
一定,certainly; surely,我一定会准时到。,I will certainly arrive on time.
一共,altogether; in total,这些苹果一共十块钱。,These apples cost ten yuan in total.
一会儿,a while,请等我一会儿。,Please wait for me for a while.
一切,everything; all,一切都准备好了,Everything is ready
以,by; with; according to,以前我不会说中文,I couldn't speak Chinese before
以后,after; later,以后我要去中国,I will go to China later
以前,before; previously,他以前住在北京,He used to live in Beijing
椅子,chair,这把椅子很舒服,This chair is very comfortable
一般,ordinary; common,今天天气一般,The weather today is ordinary
一起,together,我们一起去吃饭吧,Let's go eat together
一直,always; continuously,他一直在学习,He has been studying continuously
意思,meaning; idea,这个词的意思是什么？,What's the meaning of this word?
阴,cloudy; overcast,今天天气很阴,Today is very cloudy
因此,therefore; thus,他病了，因此没来上课,"He was sick, therefore he didn't come to class"
引起,to cause; arouse,这件事引起了很多关注,This matter caused a lot of attention
印象,impression,我对他的第一印象很好,I had a good first impression of him
影响,influence; affect,噪音影响我学习,The noise affects my studying
硬,hard; firm,这张床太硬了,This bed is too hard
勇敢,"brave, courageous",他是一个勇敢的消防员。,He is a brave firefighter.
用,to use,我们用筷子吃饭。,We use chopsticks to eat.
幽默,humorous,他很幽默，总是讲有趣的故事。,He is humorous and always tells interesting stories.
由,"from, by",这本书由李老师写的。,This book was written by Teacher Li.
由于,"because of, due to",由于下雨，比赛取消了。,"Due to the rain, the game was cancelled."
尤其,especially,我喜欢水果，尤其是苹果。,"I like fruits, especially apples."
游泳,to swim,夏天我常常去游泳。,I often go swimming in summer.
有,"to have, there is",我有一只可爱的猫。,I have a cute cat.
有名,famous,这家餐厅很有名。,This restaurant is very famous.
有趣,interesting,这个电影很有趣。,This movie is very interesting.
友好,friendly,他们是很友好的邻居。,They are very friendly neighbors.
又,"again, also",他又迟到了。,He was late again.
愉快,"happy, pleasant",祝你周末愉快！,Have a pleasant weekend!
于是,"therefore, thus",天气很好，于是我们去公园。,"The weather was nice, so we went to the park."
与,"with, and",我与朋友一起学习。,I study with my friends.
羽毛球,badminton,我每个周末都打羽毛球,I play badminton every weekend
遇到,"to meet, to run into",我在超市遇到了我的老师,I ran into my teacher at the supermarket
元,yuan (Chinese currency),这本书二十元,This book costs twenty yuan
原来,"originally, so that's why",原来你住在这里啊,"Oh, so this is where you live"
原因,reason,他迟到的原因是堵车,The reason he was late was traffic
愿意,willing to,她愿意帮助别人,She is willing to help others
越,more and more,天气越来越热,The weather is getting hotter and hotter
月,month,一年有十二个月,There are twelve months in a year
月亮,moon,今晚的月亮很圆,The moon is very full tonight
云,cloud,天空有很多白云,There are many white clouds in the sky
在,"to be at, in",我现在在家,I am at home now
再,again,请再说一遍,Please say it again
早上,morning,早上好！,Good morning!
怎么,"how, why",你怎么这么晚才来？,Why did you come so late?
增加,to increase,工资增加了百分之十,The salary increased by 10 percent
窄,narrow,这条路太窄了，车子开不过去。,This road is too narrow for cars to pass through.
站,to stand; station,请在这里站一会儿等我。,Please stand here and wait for me.
丈夫,husband,我丈夫在医院工作。,My husband works at the hospital.
招聘,to recruit,这家公司正在招聘新员工。,This company is recruiting new employees.
着急,anxious; worried,别着急，我们还有时间。,"Don't worry, we still have time."
找,to look for,我在找我的钱包。,I'm looking for my wallet.
照片,photo; photograph,这是我去年拍的照片。,This is a photo I took last year.
照相机,camera,我买了一台新照相机。,I bought a new camera.
着,in progress,他正在看着电视。,He is watching TV.
真,really; truly,这个故事真有意思。,This story is really interesting.
真正,genuine; real,这是真正的中国茶。,This is genuine Chinese tea.
整理,to organize,我需要整理我的房间。,I need to organize my room.
正常,normal,他的体温现在是正常的。,His temperature is normal now.
正好,just right,这件衣服正好合适。,This clothes fits just right.
正确,correct,你的答案是正确的。,Your answer is correct.
正式,"formal, official",明天开始正式上班。,Official work starts tomorrow.
正在,in the process of,他正在看书。,He is reading a book.
之,of (literary possessive),天之骄子,Heaven's pride
只,classifier for animals,一只猫,One cat
支持,to support,我完全支持你的决定。,I fully support your decision.
知道,to know,我知道他住在哪里。,I know where he lives.
直接,direct,请直接告诉我真相。,Please tell me the truth directly.
植物,plant,这是一种罕见的植物。,This is a rare plant.
指,"to point, indicate",他指着黑板说明。,He pointed at the blackboard to explain.
只,"only, just",我只有一本书。,I only have one book.
只好,"have to, forced to",天太晚了，我只好回家。,"It's too late, I have to go home."
只要,as long as,只要努力就能成功。,"As long as you work hard, you can succeed."
至少,at least,至少等十分钟。,Wait at least ten minutes.
制造,to manufacture,这台电脑是在中国制造的。,This computer was manufactured in China.
中国,China,我很喜欢中国文化。,I really like Chinese culture.
中文,Chinese language,我正在学习中文。,I am learning Chinese.
中午,noon,中午我们一起吃饭吧。,Let's have lunch together at noon.
种,to plant; type,我在花园里种了很多花。,I planted many flowers in the garden.
重点,key point,这是考试的重点内容。,This is the key content for the exam.
重要,important,健康很重要。,Health is important.
周末,weekend,周末你想做什么？,What do you want to do on the weekend?
猪,pig,这只小猪很可爱。,This little pig is cute.
主要,main,这是我们主要的问题。,This is our main problem.
主意,idea,我有一个好主意！,I have a good idea!
住,to live,我住在北京。,I live in Beijing.
祝,to wish,祝你生日快乐！,Wish you a happy birthday!
著名,famous,这是一家著名的餐厅。,This is a famous restaurant.
注意,pay attention,请注意安全。,Please pay attention to safety.
撞,to crash; bump,他的车撞到了树上。,His car crashed into a tree.
准确,accurate,这个答案很准确。,This answer is very accurate.
桌子,"table, desk",请把书放在桌子上。,Please put the book on the table.
字,"character, word",这个汉字很难写。,This Chinese character is difficult to write.
字典,dictionary,我需要查字典学习生词。,I need to check the dictionary to learn new words.
自己,"self, oneself",我喜欢自己做饭。,I like to cook for myself.
自然,"nature, natural",这里的自然风景很美。,The natural scenery here is beautiful.
走,"to walk, to go",我们一起走路去学校吧。,Let's walk to school together.
租,to rent,他想租一间公寓。,He wants to rent an apartment.
嘴,mouth,吃饭前要先洗手洗嘴。,Wash your hands and mouth before eating.
最,most,这是最贵的衣服。,This is the most expensive clothes.
最好,"best, had better",你最好早点去睡觉。,You'd better go to bed early.
最后,"final, last",他最后到达了比赛。,He arrived last at the competition.
最近,"recently, lately",最近天气变冷了。,The weather has gotten cold recently.
尊重,respect,我们要尊重老师。,We should respect our teachers.
昨天,yesterday,昨天我去看电影了。,I went to watch a movie yesterday.
坐,"to sit, to take",请坐公共汽车去市中心。,Please take the bus to the city center.
做,to do; to make,妈妈在厨房做饭。,Mom is cooking in the kitchen.
做生意,to do business,我爸爸在中国做生意。,My father does business in China.
座,seat; measure word for buildings/mountains,这是一座漂亮的房子。,This is a beautiful house.
座位,seat,电影院里没有空的座位了。,There are no empty seats left in the cinema.
作用,effect; function,运动对健康有很大的作用。,Exercise has a great effect on health.
作者,author; writer,这本书的作者是谁？,Who is the author of this book?
